N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000001104	C0553980	M0007420	D004719	Endomyocardial Fibrosis
N0000002170	C0027830	M0014709	D009455	Neurofibroma
N0000003512	C0085437	M0025747	D016920	Meningitis, Bacterial
N0000001470	C0019021	M0010119	D006445	Hemoglobin C Disease
N0000171665	C0524582	M0006898	D050336	Mulibrey Nanism
N0000000652	C0006846	M0003260	D002179	Candidiasis, Cutaneous
N0000011045	C2931618	M0398989	D031901	Gestational Trophoblastic Disease
N0000171633	C0033893	M0028116	D018781	Tension-Type Headache
N0000002105	C0027343	M0014430	D009263	Nails, Ingrown
N0000003755	C0010635	M0027525	D018291	Cystadenoma, Mucinous
N0000002089	C0027073	M0014349	D009209	Myofascial Pain Syndromes
N0000004242	C0016199	M0353868	D021501	Flank Pain
N0000000705	C0007621	M0003771	D002471	Cell Transformation, Neoplastic
N0000003372	C0079485	M0024629	D016127	Heart Valve Prolapse
N0000001421	C0018776	M0009928	D006313	Hearing Loss, Central
N0000011149	C1135869	M0399083	D031941	Hemorrhagic Septicemia, Viral
N0000002543	C0034068	M0018131	D011657	Pulmonary Eosinophilia
N0000003837	C0026139	M0027883	D018602	Milk Sickness
N0000189386	C3658267	M0579765	D064129	Prostatic Neoplasms, Castration-Resistant
N0000002863	C0038868	M0020849	D013494	Supranuclear Palsy, Progressive
N0000000792	C0008924	M0004548	D002971	Cleft Lip
N0000003333	C0029423	M0024248	D015831	Osteochondroma
N0000003053	C0041333	M0022135	D014401	Tuberculosis, Urogenital
N0000171626	C0149521	M0475626	D050500	Pancreatitis, Chronic
N0000001411	C0018571	M0009783	D006230	Hand Injuries
N0000001995	C0025362	M0013414	D008607	Intellectual Disability
N0000002902	C0039445	M0021123	D013683	Telangiectasia, Hereditary Hemorrhagic
N0000000559	C0005683	M0002629	D001744	Urinary Bladder Calculi
N0000003108	C0042341	M0022528	D014646	Varicocele
N0000010992	C0042961	M0011576	D045822	Intestinal Volvulus
N0000002934	C0040038	M0021430	D013923	Thromboembolism
N0000001773	C0022893	M0012128	D007762	Labyrinthitis
N0000000547	C0005403	M0002486	D001655	Bile Reflux
N0000183416	C0677776	M0556977	D061325	Hereditary Breast and Ovarian Cancer Syndrome
N0000003176	C0043325	M0023050	D014973	Xanthomatosis
N0000189370	C0241407	M0585204	D064927	Tick Bites
N0000011074	C1258224	M0449413	D045827	Cytophagaceae Infections
N0000002040	C0026654	M0014146	D009072	Moyamoya Disease
N0000002821	C0038218	M0020462	D013224	Status Asthmaticus
N0000002567	C0034494	M0018366	D011818	Rabies
N0000004185	C0752155	M0328060	D020785	Central Nervous System Vascular Malformations
N0000003444	C0085167	M0025300	D016586	Granular Cell Tumor
N0000181146	C0406810	M0528903	D056733	Carney Complex
N0000001171	C0015231	M0007994	D005077	Exanthema Subitum
N0000004092	C0751871	M0328129	D020274	Autoimmune Diseases of the Nervous System
N0000000963	C0011991	M0006212	D003967	Diarrhea
N0000171706	C2267227	M0003022	D052018	Bulimia Nervosa
N0000001586	C0020456	M0010824	D006943	Hyperglycemia
N0000181047	C0149870	M0021166	D053684	De Quervain Disease
N0000000670	C0007121	M0003434	D002283	Carcinoma, Bronchogenic
N0000001141	C0014733	M0007675	D004886	Erysipelas
N0000000721	C2937358	M0003884	D002543	Cerebral Hemorrhage
N0000002166	C0027814	M0014694	D009444	Neuritis, Autoimmune, Experimental
N0000003571	C0162770	M0026395	D017380	Hypertrophy, Right Ventricular
N0000002837	C0038395	M0020568	D013290	Streptococcal Infections
N0000002528	C0033922	M0018026	D011596	Psychomotor Disorders
N0000002960	C0040262	M0021568	D014010	Tinea Versicolor
N0000003874	C0282512	M0028246	D018887	Landau-Kleffner Syndrome
N0000001830	C0023501	M0012400	D007955	Leukemoid Reaction
N0000002152	C0027719	M0014634	D009400	Nephrosclerosis
N0000000312	C0001432	M0000375	D000238	Adenoma, Chromophobe
N0000001629	C0020581	M0010879	D006988	Hyphema
N0000183429	C2242703	M0549537	D059347	Cardio-Renal Syndrome
N0000003462	C0014013	M0025467	D016724	Empyema, Pleural
N0000003921	C0376550	M0028803	D019350	Astroviridae Infections
N0000002800	C0037942	M0020326	D013128	Spinal Osteophytosis
N0000181094	C0267537	M0445579	D053706	Typhlitis
N0000183427	C2063866	M0556716	D061218	Depressive Disorder, Treatment-Resistant
N0000171646	C0022876	M0012117	D007752	Obstetric Labor, Premature
N0000001864	C0023892	M0012640	D008105	Liver Cirrhosis, Biliary
N0000181179	C0860239	M0518001	D055499	Catheter-Related Infections
N0000003882	C0238419	M0028303	D018934	Fournier Gangrene
N0000002585	C0034931	M0018685	D012019	Reflex Sympathetic Dystrophy
N0000001266	C0016398	M0008657	D005491	Focal Infection, Dental
N0000181027	C0023380	M0019969	D053609	Lethargy
N0000001379	C0018054	M0009539	D006061	Gonadal Dysgenesis, 46,XY
N0000183377	C0161406	M0556744	D061221	Trigeminal Nerve Injuries
N0000002952	C0040197	M0021522	D013985	Tick Paralysis
N0000003025	C0041227	M0022072	D014352	Trypanosomiasis
N0000000488	C0003950	M0001785	D001196	Ascariasis
N0000181160	C0544755	M0526926	D056305	Genu Varum
N0000171637	C1565107	M0480012	D051271	Headache Disorders, Secondary
N0000171619	C1509147	M0481306	D051642	Histiocytoma
N0000000710	C0007684	M0003806	D002494	Central Nervous System Infections
N0000171689	C0346302	M0470976	D049912	Growth Hormone-Secreting Pituitary Adenoma
N0000001812	C0023370	M0012367	D007925	Leriche Syndrome
N0000000972	C0266015	M0006373	D004065	Digestive System Abnormalities
N0000003327	C0015406	M0024240	D015822	Eye Infections, Parasitic
N0000003067	C1456865	M0022323	D014514	Ureteral Calculi
N0000002396	C0031762	M0016756	D010787	Photosensitivity Disorders
N0000183386	C0221357	M0549414	D059327	Brachydactyly
N0000001503	C0019188	M0010226	D006520	Hepatitis, Animal
N0000002815	C0038054	M0020397	D013182	Sprue, Tropical
N0000011090	C0001364	M0012643	D047508	Massive Hepatic Necrosis
N0000185620	C0854348	M0560974	D062026	Alice in Wonderland Syndrome
N0000001674	C0021141	M0011185	D007177	Inappropriate ADH Syndrome
N0000002677	C0036221	M0019438	D012515	Mast-Cell Sarcoma
N0000003878	C0151786	M0028272	D018908	Muscle Weakness
N0000002258	C0029454	M0015549	D010022	Osteopetrosis
N0000010962	C0268581	M0381890	D028922	Holocarboxylase Synthetase Deficiency
N0000002951	C0040196	M0021521	D013984	Tick Infestations
N0000011087	C1176475	M0445446	D044584	Carcinoma, Ductal
N0000000702	C0007527	M0003708	D002429	Cecal Diseases
N0000000947	C0011649	M0006065	D003884	Dermoid Cyst
N0000011158	C0236816	M0415571	D040701	Stress Disorders, Traumatic, Acute
N0000001538	C0019554	M0010363	D006617	Hip Dislocation
N0000002623	C0035369	M0018986	D012192	Retroviridae Infections
N0000001197	C0015469	M0008125	D005158	Facial Paralysis
N0000000497	C0004095	M0001884	D001248	Asthenopia
N0000002100	C0027149	M0014383	D009232	Myxoma
N0000182194	C0346010	M0541547	D058249	Birt-Hogg-Dube Syndrome
N0000011017	C0022354	M0004260	D041781	Jaundice, Obstructive
N0000004208	C0752219	M0328376	D020833	Diffuse Axonal Injury
N0000004223	C0752301	M0328286	D020923	REM Sleep Parasomnias
N0000171621	C0206644	M0027448	D018219	Histiocytoma, Benign Fibrous
N0000002762	C0037275	M0019930	D012872	Skin Diseases, Vesiculobullous
N0000003719	C0206667	M0027475	D018246	Adrenocortical Adenoma
N0000003776	C0206724	M0027547	D018312	Sex Cord-Gonadal Stromal Tumors
N0000000611	C0006145	M0002906	D001941	Breast Diseases
N0000001844	C0023646	M0012481	D008010	Lichen Planus
N0000001255	C0016124	M0008500	D005383	Finger Injuries
N0000002140	C0027666	M0014606	D009381	Neoplasms, Radiation-Induced
N0000003439	C0085160	M0025287	D016575	Hidradenitis
N0000002064	C0026848	M0014252	D009135	Muscular Diseases
N0000002472	C0032897	M0017431	D011218	Prader-Willi Syndrome
N0000002722	C0036875	M0019735	D012734	Disorders of Sex Development
N0000002753	C0037120	M0019865	D012832	Silo Filler's Disease
N0000001738	C0022575	M0011966	D007638	Keratoconjunctivitis Sicca
N0000003314	C0015398	M0024182	D015785	Eye Diseases, Hereditary
N0000003676	C0206629	M0027431	D018202	Pulmonary Blastoma
N0000010947	C0152439	M0430673	D041441	Retinoschisis
N0000002728	C0036974	M0019782	D012769	Shock
N0000002309	C0030469	M0015892	D010254	Paranasal Sinus Diseases
N0000002321	C0030517	M0015927	D010279	Parathyroid Diseases
N0000001325	C0017416	M0009156	D005833	Genital Neoplasms, Female
N0000001507	C0019194	M0010232	D006524	Hepatitis, Viral, Animal
N0000004198	C0752182	M0328055	D020808	Central Nervous System Protozoal Infections
N0000001354	C0017671	M0009305	D005925	Glomus Jugulare Tumor
N0000002296	C0030360	M0015840	D010214	Papillon-Lefevre Disease
N0000003382	C0078888	M0024684	D016170	Accelerated Idioventricular Rhythm
N0000000882	C0010418	M0005385	D003457	Cryptosporidiosis
N0000002404	C0031941	M0016875	D010871	Pinealoma
N0000001685	C0021361	M0011304	D007247	Infertility, Female
N0000001794	C0023219	M0012283	D007868	Leg Dermatoses
N0000182161	C0021449	M0029652	D058545	Inhalant Abuse
N0000181269	C2237660	M0534746	D057135	Wet Macular Degeneration
N0000004122	C0023869	M0029982	D020347	Lithiasis
N0000003610	C0206081	M0026654	D017588	Hyperandrogenism
N0000003201	C0029410	M0023369	D015207	Osteoarthritis, Hip
N0000181051	C0152136	M0534183	D057066	Low Tension Glaucoma
N0000181031	C0034184	M0018194	D053653	Pyelocystitis
N0000002377	C0031142	M0016360	D010532	Peritoneal Diseases
N0000002769	C0037299	M0019944	D012883	Skin Ulcer
N0000001442	C0018818	M0009967	D006345	Heart Septal Defects, Ventricular
N0000011064	C0700639	M0453566	D046248	Pyloric Stenosis, Hypertrophic
N0000181038	C0042951	M0500691	D054061	Ischemic Contracture
N0000002342	C0030781	M0016098	D010382	Peliosis Hepatis
N0000003303	C0029458	M0024020	D015663	Osteoporosis, Postmenopausal
N0000001551	C0019841	M0010487	D006691	Classical Swine Fever
N0000001045	C0013528	M0006978	D004454	Echolalia
N0000001605	C0020503	M0010846	D006962	Hyperparathyroidism, Secondary
N0000003226	C0035302	M0023643	D015356	Retinal Artery Occlusion
N0000011144	C0546983	M0415429	D038223	Post-Concussion Syndrome
N0000003277	C0036091	M0023857	D015494	Salivary Gland Calculi
N0000004050	C0160680	M0328189	D020212	Carotid Artery Injuries
N0000004068	C0234512	M0328275	D020238	Prosopagnosia
N0000003057	C0041408	M0022170	D014424	Turner Syndrome
N0000000801	C0009187	M0004678	D003048	Coccidiosis
N0000001821	C0023448	M0012388	D007945	Leukemia, Lymphoid
N0000001130	C0014550	M0328686	D004831	Epilepsies, Myoclonic
N0000000434	C0003466	M0001530	D001006	Anus, Imperforate
N0000000329	C0001630	M0000490	D000314	Adrenal Rest Tumor
N0000003631	C0206178	M0026791	D017726	Cytomegalovirus Retinitis
N0000004235	C0752351	M0328441	D020964	Embryo Loss
N0000003841	C0152101	M0027929	D018636	Hypoplastic Left Heart Syndrome
N0000002109	C0027412	M0014475	D009293	Opioid-Related Disorders
N0000011044	C0686721	M0416551	D038642	Shaken Baby Syndrome
N0000001985	C0025294	M0013369	D008585	Meningitis, Meningococcal
N0000001797	C0023223	M0012286	D007871	Leg Ulcer
N0000001950	C0024904	M0013100	D008417	Mastoiditis
N0000001124	C0014534	M0007560	D004823	Epididymitis
N0000001389	C0018197	M0009611	D006103	Granuloma, Lethal Midline
N0000002311	C0030472	M0015895	D010257	Paraneoplastic Syndromes
N0000001028	C0013395	M0006927	D004415	Dyspepsia
N0000004083	C0546127	M0328124	D020262	Mercury Poisoning, Nervous System
N0000182246	C2936403	M0542824	D058489	46, XX Disorders of Sex Development
N0000000938	C0011581	M0006033	D003866	Depressive Disorder
N0000181199	C1264039	M0528871	D056725	von Willebrand Disease, Type 1
N0000000336	C0001752	M0000545	D000357	African Swine Fever
N0000000414	C0002992	M0001196	D000798	Angiomatosis
N0000001705	C0021847	M0011580	D007418	Intestinal Pseudo-Obstruction
N0000000808	C0009326	M0004792	D003095	Collagen Diseases
N0000000709	C0007682	M0003805	D002493	Central Nervous System Diseases
N0000003360	C0079924	M0024596	D016104	Oligohydramnios
N0000000812	C0009374	M0004815	D003109	Colonic Diseases, Functional
N0000001091	C0014084	M0007380	D004687	Enchondromatosis
N0000000450	C0003537	M0001571	D001037	Aphasia
N0000002856	C0038644	M0020725	D013398	Sudden Infant Death
N0000002005	C0025521	M0013496	D008661	Metabolism, Inborn Errors
N0000001138	C0014670	M0007624	D004863	Equinus Deformity
N0000003172	C0043254	M0023024	D014950	Wounds, Penetrating
N0000001190	C0015456	M0008112	D005148	Facial Dermatoses
N0000000562	C0005690	M0002633	D001747	Urinary Bladder Fistula
N0000001167	C0014877	M0007762	D004948	Esotropia
N0000003531	C0162538	M0025980	D017098	IgA Deficiency
N0000003293	C0010232	M0023948	D015605	Cowpox
N0000001460	C0018944	M0010048	D006406	Hematoma
N0000003707	C0206656	M0027462	D018233	Rhabdomyosarcoma, Embryonal
N0000003743	C0206696	M0027510	D018279	Carcinoma, Signet Ring Cell
N0000003370	C0080024	M0024621	D016116	Piebaldism
N0000003576	C0162817	M0026466	D017443	Skin Diseases, Eczematous
N0000000676	C0007131	M0003440	D002289	Carcinoma, Non-Small-Cell Lung
N0000010967	C1258223	M0449412	D045826	Flavobacteriaceae Infections
N0000003367	C0079583	M0024612	D016113	Ichthyosiform Erythroderma, Congenital
N0000001701	C0021841	M0011574	D007414	Intestinal Neoplasms
N0000003532	C0162539	M0025981	D017099	IgG Deficiency
N0000001094	C0014116	M0007388	D004694	Endocardial Cushion Defects
N0000001949	C0024899	M0013098	D008415	Mastocytosis
N0000001866	C0023895	M0012644	D008107	Liver Diseases
N0000002897	C0039263	M0021017	D013625	Takayasu Arteritis
N0000001617	C0020540	M0010861	D006974	Hypertension, Malignant
N0000004042	C0347766	M0328292	D020204	Skull Fracture, Depressed
N0000004131	C0013264	M0014253	D020388	Muscular Dystrophy, Duchenne
N0000002672	C0036211	M0019431	D012510	Sarcoma 180
N0000003537	C0162566	M0026011	D017119	Porphyria Cutanea Tarda
N0000181166	C0596270	M0496690	D053821	Cardiovascular Infections
N0000003276	C0030481	M0023855	D015493	Paraparesis, Tropical Spastic
N0000000953	C0011859	M0006154	D003923	Diabetes Mellitus, Lipoatrophic
N0000003930	C0376685	M0029019	D019534	Shoulder Impingement Syndrome
N0000001974	C0025235	M0013326	D008556	Melkersson-Rosenthal Syndrome
N0000002702	C0036429	M0019550	D012598	Sclerosis
N0000003680	C0206632	M0027435	D018206	Angiolipoma
N0000185614	C0334317	M0568819	D062625	Cystadenofibroma
N0000003983	C0600433	M0029723	D020016	Activated Protein C Resistance
N0000000457	C0013473	M0001616	D001068	Eating Disorders
N0000004001	C0751739	M0328151	D020144	Basal Ganglia Cerebrovascular Disease
N0000003018	C0040997	M0021966	D014277	Trigeminal Neuralgia
N0000000985	C0012739	M0006587	D004211	Disseminated Intravascular Coagulation
N0000003652	C0206586	M0027370	D018159	Endolymphatic Hydrops
N0000000530	C0004760	M0002185	D001469	Barotrauma
N0000003124	C0042584	M0022636	D014720	Vesicular Exanthema of Swine
N0000171698	C1568272	M0483885	D052256	Tendinopathy
N0000181116	C0273115	M0517345	D055370	Lung Injury
N0000003795	C0206743	M0027572	D018335	Rhabdoid Tumor
N0000001009	C0013298	M0006886	D004382	Duodenitis
N0000002708	C0036474	M0019569	D012614	Scurvy
N0000183436	C3178777	M0549095	D059266	Bisphosphonate-Associated Osteonecrosis of the Jaw
N0000002447	C0032343	M0017099	D011041	Poisoning
N0000000386	C0002876	M0001122	D000742	Anemia, Dyserythropoietic, Congenital
N0000003357	C0080151	M0024592	D016097	Simian Acquired Immunodeficiency Syndrome
N0000001284	C0016632	M0008797	D005588	Fox-Fordyce Disease
N0000002208	C0028860	M0015215	D009800	Oculocerebrorenal Syndrome
N0000001583	C0020452	M0010821	D006940	Hyperemia
N0000003575	C0162812	M0026461	D017441	Necrobiotic Disorders
N0000002268	C0029888	M0015566	D010035	Otitis Media, Suppurative
N0000001902	C0024266	M0012809	D008216	Lymphocytic Choriomeningitis
N0000002794	C0037929	M0020312	D013119	Spinal Cord Injuries
N0000181270	C2316166	M0525790	D056124	Slit Ventricle Syndrome
N0000001145	C0014741	M0007680	D004891	Erythema Induratum
N0000183385	C0221058	M0554197	D060486	Ophthalmoplegic Migraine
N0000003241	C0023346	M0023792	D015439	Leprosy, Borderline
N0000003671	C0206624	M0027426	D018197	Hepatoblastoma
N0000002865	C0038941	M0020904	D013530	Surgical Wound Infection
N0000002351	C0030920	M0016211	D010437	Peptic Ulcer
N0000003923	C0376618	M0028934	D019446	Endotoxemia
N0000000725	C0007789	M0003888	D002547	Cerebral Palsy
N0000000819	C0009421	M0004841	D003128	Coma
N0000004156	C0238358	M0328337	D020514	Hypokalemic Periodic Paralysis
N0000181280	C2350529	M0519862	D055732	Pulmonary Aspergillosis
N0000002361	C0031039	M0016298	D010490	Pericardial Effusion
N0000010972	C0221013	M0405932	D034721	Mastocytosis, Systemic
N0000181073	C0240903	M0528216	D056653	Rheumatoid Vasculitis
N0000002773	C0037316	M0019965	D012892	Sleep Deprivation
N0000001870	C0023904	M0012655	D008114	Liver Neoplasms, Experimental
N0000003467	C0085280	M0025493	D016738	Alagille Syndrome
N0000000639	C0006444	M0003070	D002062	Bursitis
N0000001789	C0023119	M0012256	D007842	Lathyrism
N0000000898	C0010930	M0005639	D003607	Dacryocystitis
N0000001178	C0015379	M0008076	D005119	Extravasation of Diagnostic and Therapeutic Materials
N0000011115	C0159970	M0396884	D031221	Knee Dislocation
N0000002745	C0037061	M0019830	D012806	Siderosis
N0000001598	C0020488	M0010837	D006955	Hypernatremia
N0000003690	C0206641	M0027445	D018216	Osteochondromatosis
N0000182237	C2936323	M0540684	D058066	Digital Dermatitis
N0000000729	C0007815	M0003911	D002559	Cerebrospinal Fluid Rhinorrhea
N0000001935	C0024689	M0012977	D008336	Mandibular Diseases
N0000003411	C0085073	M0025145	D016459	Prosthesis-Related Infections
N0000002299	C0030421	M0015869	D010235	Paraganglioma
N0000003959	C0027531	M0029449	D019838	Neck Injuries
N0000002217	C0028968	M0015287	D009849	Olivopontocerebellar Atrophies
N0000000517	C0004421	M0002025	D001353	Avian Leukosis
N0000003049	C0041327	M0022131	D014397	Tuberculosis, Pulmonary
N0000003822	C0476171	M0027696	D018460	Fractures, Comminuted
N0000002095	C0027122	M0014370	D009221	Myositis Ossificans
N0000003003	C0040774	M0021844	D014190	Transvestism
N0000000481	C3495559	M0001748	D001171	Arthritis, Juvenile
N0000002193	C0028431	M0015011	D009667	Nose Deformities, Acquired
N0000002018	C0026229	M0013932	D008924	Mite Infestations
N0000001809	C0023321	M0012354	D007911	Lentigo
N0000002354	C0030975	M0016256	D010468	Perceptual Disorders
N0000183442	C3178892	M0552083	D059952	Pelvic Floor Disorders
N0000003540	C0162608	M0026070	D017169	Neoplasms, Post-Traumatic
N0000000662	C0007093	M0003420	D002275	Carcinoid Heart Disease
N0000001033	C0013421	M0006935	D004421	Dystonia
N0000003587	C0162834	M0026546	D017495	Hyperpigmentation
N0000002642	C0035528	M0019065	D012257	Riboflavin Deficiency
N0000010319	C0242172	M0000460	D000292	Pelvic Inflammatory Disease
N0000004164	C0751967	M0328152	D020529	Multiple Sclerosis, Relapsing-Remitting
N0000181233	C1704275	M0490118	D052880	Pyomyositis
N0000000561	C0005689	M0002632	D001746	Bladder Exstrophy
N0000001800	C0023241	M0012293	D007877	Legionnaires' Disease
N0000171687	C0221002	M0471516	D049950	Hyperparathyroidism, Primary
N0000002582	C0034895	M0018660	D012006	Rectovaginal Fistula
N0000003428	C0085119	M0025219	D016523	Foot Ulcer
N0000003099	C0042164	M0022445	D014605	Uveitis
N0000002058	C0026826	M0014236	D009122	Muscle Hypertonia
N0000000574	C0005758	M0002668	D001768	Blister
N0000181295	C2717914	M0529726	D056886	Contrecoup Injury
N0000003812	C0004626	M0027639	D018410	Pneumonia, Bacterial
N0000003687	C0206639	M0027442	D018213	Neoplasms, Bone Tissue
N0000002132	C0027658	M0014592	D009373	Neoplasms, Germ Cell and Embryonal
N0000181206	C1288283	M0534416	D057088	Anetoderma
N0000000539	C0004943	M0002296	D001528	Behcet Syndrome
N0000171638	C0032816	M0335247	D051298	Post-Traumatic Headache
N0000001600	C0020494	M0010839	D006957	Hyperostosis Frontalis Interna
N0000181250	C1850386	M0529104	D056768	Giant Axonal Neuropathy
N0000001959	C0025060	M0013192	D008476	Mediastinal Cyst
N0000003393	C0079731	M0025074	D016393	Lymphoma, B-Cell
N0000001777	C0022951	M0012180	D007787	Lactose Intolerance
N0000001938	C0024694	M0012980	D008339	Mandibular Neoplasms
N0000004035	C0751795	M0328323	D020197	Head Injuries, Penetrating
N0000003752	C0262584	M0027519	D018288	Carcinoma, Small Cell
N0000001766	C0022806	M0012087	D007732	Kwashiorkor
N0000003438	C0085159	M0025286	D016574	Seasonal Affective Disorder
N0000001595	C0020479	M0010834	D006952	Hyperlipoproteinemia Type III
N0000000648	C0376154	M0003210	D002145	Callosities
N0000001365	C0017924	M0009473	D006012	Glycogen Storage Disease Type V
N0000004112	C0270736	M0328393	D020329	Essential Tremor
N0000003871	C0282507	M0028238	D018882	Heat Stress Disorders
N0000003152	C3665596	M0022875	D014860	Warts
N0000002533	C0033999	M0018079	D011625	Pterygium
N0000003383	C0040479	M0024685	D016171	Torsades de Pointes
N0000000714	C0007762	M0003860	D002528	Cerebellar Neoplasms
N0000002881	C0039128	M0020966	D013587	Syphilis
N0000003159	C0043119	M0022920	D014898	Werner Syndrome
N0000001721	C0022364	M0011830	D007573	Jaw Neoplasms
N0000002908	C0039504	M0021156	D013708	Tendon Injuries
N0000000992	C0012833	M0006639	D004244	Dizziness
N0000189387	C3658283	M0577070	D063726	Delusional Parasitosis
N0000181155	C0477611	M0512961	D055035	Spinal Osteochondrosis
N0000003138	C0042909	M0022821	D014823	Vitreous Hemorrhage
N0000004048	C0560651	M0328209	D020210	Central Cord Syndrome
N0000000924	C0011378	M0005897	D003763	Dental Leakage
N0000000500	C0004106	M0001888	D001251	Astigmatism
N0000003766	C0206715	M0027536	D018302	Neoplasms, Neuroepithelial
N0000003655	C0206606	M0027402	D018175	Birnaviridae Infections
N0000003375	C0037917	M0024647	D016137	Spina Bifida Cystica
N0000002465	C0032763	M0017355	D011178	Postgastrectomy Syndromes
N0000001366	C0017925	M0009474	D006013	Glycogen Storage Disease Type VI
N0000000763	C0008372	M0004262	D002780	Cholestasis, Intrahepatic
N0000001398	C0018482	M0009740	D006192	Haemophilus Infections
N0000002651	C0035793	M0019235	D012373	Rocky Mountain Spotted Fever
N0000001183	C0015402	M0008090	D005130	Eye Hemorrhage
N0000003818	C0242666	M0027690	D018455	Protein S Deficiency
N0000001532	C0019364	M0010281	D006563	Herpes Zoster Ophthalmicus
N0000003187	C0043540	M0023161	D015051	Zygomatic Fractures
N0000003287	C0003872	M0023901	D015535	Arthritis, Psoriatic
N0000002540	C0034063	M0018125	D011654	Pulmonary Edema
N0000171707	C0042266	M0029730	D052065	Vaginismus
N0000000942	C0011609	M0006049	D003875	Drug Eruptions
N0000002568	C0034530	M0018380	D011832	Radiation Injuries
N0000002546	C0034084	M0018139	D011662	Pulmonary Subvalvular Stenosis
N0000001651	C0020655	M0010935	D007027	Hypothalamic Diseases
N0000001554	C0019917	M0010536	D006726	Hordeolum
N0000001004	C0013288	M0006880	D004377	Dumping Syndrome
N0000001502	C0019187	M0010224	D006519	Hepatitis, Alcoholic
N0000002935	C0040046	M0021432	D013924	Thrombophlebitis
N0000003586	C0022603	M0026535	D017492	Keratosis, Seborrheic
N0000181263	C1959620	M0500884	D054067	Dihydropyrimidine Dehydrogenase Deficiency
N0000003541	C0042514	M0026083	D017180	Tachycardia, Ventricular
N0000002133	C0027659	M0014595	D009374	Neoplasms, Experimental
N0000001626	C0020578	M0010876	D006985	Hyperventilation
N0000003492	C0085395	M0025672	D016869	Ureaplasma Infections
N0000003040	C0041316	M0022120	D014388	Tuberculosis, Lymph Node
N0000185611	C0259771	M0528908	D062685	Steatocystoma Multiplex
N0000002167	C0027819	M0014699	D009447	Neuroblastoma
N0000003164	C0043194	M0022985	D014923	Wiskott-Aldrich Syndrome
N0000181020	C0013580	M0009949	D054083	Ectopia Cordis
N0000002572	C0034561	M0018410	D011855	Radiodermatitis
N0000010983	C1260899	M0384815	D029503	Anemia, Diamond-Blackfan
N0000001919	C0271051	M0508696	D008269	Macular Edema
N0000000558	C0005681	M0002627	D001742	Blackwater Fever
N0000002555	C0034152	M0018180	D011695	Purpura, Schoenlein-Henoch
N0000010993	C0521610	M0439585	D041882	Emphysematous Cholecystitis
N0000002699	C0036415	M0019540	D012593	Sclerema Neonatorum
N0000003107	C0042267	M0022488	D014627	Vaginitis
N0000003399	C0079746	M0025080	D016400	Lymphoma, Large-Cell, Immunoblastic
N0000003574	C0162810	M0026459	D017439	Cicatrix, Hypertrophic
N0000003518	C0085547	M0025897	D017042	Phenylketonuria, Maternal
N0000001921	C0024473	M0012886	D008275	Magnesium Deficiency
N0000002446	C0032342	M0017097	D011040	Dermatitis, Toxicodendron
N0000003050	C0041328	M0022132	D014398	Tuberculosis, Renal
N0000001016	C0013369	M0006913	D004403	Dysentery
N0000001332	C0017547	M0009228	D005877	Gigantism
N0000003319	C0015409	M0024208	D015807	Eye Injuries, Penetrating
N0000004077	C0155930	M0029918	D020254	Tooth Ankylosis
N0000185608	C0004052	M0017065	D063466	Respiratory Aspiration of Gastric Contents
N0000003173	C0043255	M0023025	D014951	Wounds, Stab
N0000003321	C0017605	M0024213	D015812	Glaucoma, Angle-Closure
N0000185613	C0276264	M0569000	D062688	Buschke-Lowenstein Tumor
N0000001083	C0014065	M0007366	D004677	Encephalocele
N0000001304	C0016977	M0008958	D005705	Gallbladder Diseases
N0000003836	C0242830	M0027882	D018601	King's Evil
N0000183378	C0161409	M0556943	D061285	Vestibulocochlear Nerve Injuries
N0000181037	C0041952	M0490215	D053039	Ureterolithiasis
N0000181044	C0085661	M0500237	D054039	Onycholysis
N0000001370	C0017980	M0009503	D006030	Glycosuria, Renal
N0000171645	C0022865	M0012106	D007744	Obstetric Labor Complications
N0000004109	C0233795	M0328096	D020324	Amnesia, Anterograde
N0000011046	C1135873	M0399102	D031954	Choriocarcinoma, Non-gestational
N0000002826	C0038354	M0020542	D013272	Stomach Diseases
N0000001700	C0021833	M0011571	D007412	Intestinal Fistula
N0000003839	C0242852	M0027923	D018630	Vitreoretinopathy, Proliferative
N0000000960	C0011974	M0006208	D003963	Diaper Rash
N0000001880	C0024116	M0012745	D008172	Lung Diseases, Fungal
N0000001376	C0018050	M0009536	D006058	Gonadal Disorders
N0000000965	C0011993	M0006214	D003969	Vipoma
N0000002063	C0026847	M0014250	D009134	Muscular Atrophy, Spinal
N0000002626	C0035410	M0018999	D012206	Rhabdomyolysis
N0000003182	C0043395	M0023087	D015004	Yellow Fever
N0000001069	C0013927	M0007251	D004619	Embolism, Amniotic Fluid
N0000002647	C0035624	M0019118	D012298	Rigor Mortis
N0000002122	C0027625	M0014575	D009360	Neoplastic Cells, Circulating
N0000001416	C0018671	M0009818	D006258	Head and Neck Neoplasms
N0000004195	C0348165	M0328064	D020805	Central Nervous System Viral Diseases
N0000181080	C0264303	M0513589	D055092	Laryngomalacia
N0000001638	C0020621	M0010909	D007008	Hypokalemia
N0000001885	C0024137	M0012754	D008178	Lupus Erythematosus, Cutaneous
N0000003721	C1510502	M0027478	D018249	Adenoma, Oxyphilic
N0000002435	C0155862	M0017071	D011018	Pneumonia, Pneumococcal
